Generic,Real,Float,Double,Complex,ComplexFloat,ComplexDouble,Miscellaneous
bbcsd,bbcsd,sbbcsd.f,dbbcsd.f,bbcsd,cbbcsd.f,zbbcsd.f,
bdsdc,bdsdc,sbdsdc.f,dbdsdc.f,,,,
bdsqr,bdsqr,sbdsqr.f,dbdsqr.f,bdsqr,cbdsqr.f,zbdsqr.f,
cgesv,,,,cgesv,,zcgesv.f,
cposv,,,,cposv,,zcposv.f,
disna,disna,sdisna.f,ddisna.f,,,,
gbbrd,gbbrd,sgbbrd.f,dgbbrd.f,gbbrd,cgbbrd.f,zgbbrd.f,
gbcon,gbcon,sgbcon.f,dgbcon.f,gbcon,cgbcon.f,zgbcon.f,
gbequ,gbequ,sgbequ.f,dgbequ.f,gbequ,cgbequ.f,zgbequ.f,
gbequb,gbequb,sgbequb.f,dgbequb.f,gbequb,cgbequb.f,zgbequb.f,
gbrfs,gbrfs,sgbrfs.f,dgbrfs.f,gbrfs,cgbrfs.f,zgbrfs.f,
gbsv,gbsv,sgbsv.f,dgbsv.f,gbsv,cgbsv.f,zgbsv.f,
gbsvx,gbsvx,sgbsvx.f,dgbsvx.f,gbsvx,cgbsvx.f,zgbsvx.f,
gbtf2,gbtf2,sgbtf2.f,dgbtf2.f,gbtf2,cgbtf2.f,zgbtf2.f,
gbtrf,gbtrf,sgbtrf.f,dgbtrf.f,gbtrf,cgbtrf.f,zgbtrf.f,
gbtrs,gbtrs,sgbtrs.f,dgbtrs.f,gbtrs,cgbtrs.f,zgbtrs.f,
gebak,gebak,sgebak.f,dgebak.f,gebak,cgebak.f,zgebak.f,
gebal,gebal,sgebal.f,dgebal.f,gebal,cgebal.f,zgebal.f,
gebd2,gebd2,sgebd2.f,dgebd2.f,gebd2,cgebd2.f,zgebd2.f,
gebrd,gebrd,sgebrd.f,dgebrd.f,gebrd,cgebrd.f,zgebrd.f,
gecon,gecon,sgecon.f,dgecon.f,gecon,cgecon.f,zgecon.f,
geequ,geequ,sgeequ.f,dgeequ.f,geequ,cgeequ.f,zgeequ.f,
geequb,geequb,sgeequb.f,dgeequb.f,geequb,cgeequb.f,zgeequb.f,
gees,gees,sgees.f,dgees.f,gees,cgees.f,zgees.f,
geesx,geesx,sgeesx.f,dgeesx.f,geesx,cgeesx.f,zgeesx.f,
geev,geev,sgeev.f,dgeev.f,geev,cgeev.f,zgeev.f,
geevx,geevx,sgeevx.f,dgeevx.f,geevx,cgeevx.f,zgeevx.f,
gehd2,gehd2,sgehd2.f,dgehd2.f,gehd2,cgehd2.f,zgehd2.f,
gehrd,gehrd,sgehrd.f,dgehrd.f,gehrd,cgehrd.f,zgehrd.f,
gejsv,gejsv,sgejsv.f,dgejsv.f,,,,
gelq2,gelq2,sgelq2.f,dgelq2.f,gelq2,cgelq2.f,zgelq2.f,
gelqf,gelqf,sgelqf.f,dgelqf.f,gelqf,cgelqf.f,zgelqf.f,
gels,gels,sgels.f,dgels.f,gels,cgels.f,zgels.f,
gelsd,gelsd,sgelsd.f,dgelsd.f,gelsd,cgelsd.f,zgelsd.f,
gelss,gelss,sgelss.f,dgelss.f,gelss,cgelss.f,zgelss.f,
gelsy,gelsy,sgelsy.f,dgelsy.f,gelsy,cgelsy.f,zgelsy.f,
geql2,geql2,sgeql2.f,dgeql2.f,geql2,cgeql2.f,zgeql2.f,
geqlf,geqlf,sgeqlf.f,dgeqlf.f,geqlf,cgeqlf.f,zgeqlf.f,
geqp3,geqp3,sgeqp3.f,dgeqp3.f,geqp3,cgeqp3.f,zgeqp3.f,
geqr2,geqr2,sgeqr2.f,dgeqr2.f,geqr2,cgeqr2.f,zgeqr2.f,
geqr2p,geqr2p,sgeqr2p.f,dgeqr2p.f,geqr2p,cgeqr2p.f,zgeqr2p.f,
geqrf,geqrf,sgeqrf.f,dgeqrf.f,geqrf,cgeqrf.f,zgeqrf.f,
geqrfp,geqrfp,sgeqrfp.f,dgeqrfp.f,geqrfp,cgeqrfp.f,zgeqrfp.f,
gerfs,gerfs,sgerfs.f,dgerfs.f,gerfs,cgerfs.f,zgerfs.f,
gerq2,gerq2,sgerq2.f,dgerq2.f,gerq2,cgerq2.f,zgerq2.f,
gerqf,gerqf,sgerqf.f,dgerqf.f,gerqf,cgerqf.f,zgerqf.f,
gesc2,gesc2,sgesc2.f,dgesc2.f,gesc2,cgesc2.f,zgesc2.f,
gesdd,gesdd,sgesdd.f,dgesdd.f,gesdd,cgesdd.f,zgesdd.f,
gesv,gesv,sgesv.f,dgesv.f,gesv,cgesv.f,zgesv.f,
gesvd,gesvd,sgesvd.f,dgesvd.f,gesvd,cgesvd.f,zgesvd.f,
gesvj,gesvj,sgesvj.f,dgesvj.f,,,,
gesvx,gesvx,sgesvx.f,dgesvx.f,gesvx,cgesvx.f,zgesvx.f,
getc2,getc2,sgetc2.f,dgetc2.f,getc2,cgetc2.f,zgetc2.f,
getf2,getf2,sgetf2.f,dgetf2.f,getf2,cgetf2.f,zgetf2.f,
getrf,getrf,sgetrf.f,dgetrf.f,getrf,cgetrf.f,zgetrf.f,
getri,getri,sgetri.f,dgetri.f,getri,cgetri.f,zgetri.f,
getrs,getrs,sgetrs.f,dgetrs.f,getrs,cgetrs.f,zgetrs.f,
ggbak,ggbak,sggbak.f,dggbak.f,ggbak,cggbak.f,zggbak.f,
ggbal,ggbal,sggbal.f,dggbal.f,ggbal,cggbal.f,zggbal.f,
gges,gges,sgges.f,dgges.f,gges,cgges.f,zgges.f,
ggesx,ggesx,sggesx.f,dggesx.f,ggesx,cggesx.f,zggesx.f,
ggev,ggev,sggev.f,dggev.f,ggev,cggev.f,zggev.f,
ggevx,ggevx,sggevx.f,dggevx.f,ggevx,cggevx.f,zggevx.f,
ggglm,ggglm,sggglm.f,dggglm.f,ggglm,cggglm.f,zggglm.f,
gghrd,gghrd,sgghrd.f,dgghrd.f,gghrd,cgghrd.f,zgghrd.f,
gglse,gglse,sgglse.f,dgglse.f,gglse,cgglse.f,zgglse.f,
ggqrf,ggqrf,sggqrf.f,dggqrf.f,ggqrf,cggqrf.f,zggqrf.f,
ggrqf,ggrqf,sggrqf.f,dggrqf.f,ggrqf,cggrqf.f,zggrqf.f,
gsvj0,gsvj0,sgsvj0.f,dgsvj0.f,,,,
