workload,variant,run,elapsed_seconds,user_seconds,system_seconds,allocated_bytes,max_residency_bytes,max_rss_bytes
many,before,1,2.31,2.18,0.09,9950969640,365287808,824115200
many,before,2,2.28,2.19,0.08,9950969640,365287808,824098816
many,before,3,2.24,2.16,0.07,9950969640,365287808,824082432
many,before,4,2.23,2.15,0.07,9950969640,365287808,824082432
many,before,5,2.23,2.14,0.07,9950969640,365287808,824082432
many,after,1,2.57,1.85,0.05,9681537088,161284840,473399296
many,after,2,1.93,1.85,0.05,9681537088,161284840,473399296
many,after,3,1.89,1.82,0.04,9681537088,161284840,473382912
many,after,4,1.9,1.82,0.04,9681537088,161284840,473399296
many,after,5,1.91,1.83,0.05,9681537088,161284840,473382912
large,before,1,0.7,0.67,0.02,1863828768,111403792,328056832
large,before,2,0.69,0.66,0.02,1863828768,111403792,329105408
large,before,3,0.71,0.68,0.02,1863828768,111403792,328073216
large,before,4,0.71,0.68,0.02,1863828768,111403792,328073216
large,before,5,0.72,0.69,0.02,1863828768,111403792,328073216
large,after,1,0.61,0.57,0.01,1800363112,78383160,181862400
large,after,2,0.6,0.57,0.01,1800363112,78383160,181862400
large,after,3,0.6,0.57,0.01,1800363112,78383160,181862400
large,after,4,0.59,0.56,0.01,1800363112,78383160,181862400
large,after,5,0.59,0.56,0.01,1800363112,78383160,181862400
data,before,1,0.05,0.0,0.02,201741648,67167136,152141824
data,before,2,0.2,0.0,0.02,201741648,67167136,152141824
data,before,3,1.16,0.0,0.02,201746616,67183824,152174592
data,before,4,0.08,0.0,0.03,201741648,67167136,152141824
data,before,5,0.17,0.0,0.03,201741648,67167136,152141824
data,after,1,0.3,0.0,0.1,140706840,138288,21987328
data,after,2,0.32,0.0,0.09,140706840,138288,21987328
data,after,3,0.3,0.0,0.1,140707128,138312,21987328
data,after,4,0.28,0.0,0.12,140707128,138312,21987328
data,after,5,0.33,0.0,0.1,140707128,138312,21987328
source,before,1,2.92,2.85,0.04,22079331440,157919768,357580800
source,before,2,3.0,2.9,0.07,22079331440,157919768,357580800
source,before,3,2.96,2.89,0.05,22079331440,157919768,357580800
source,before,4,3.12,3.04,0.06,22079331440,157919768,357597184
source,before,5,3.14,3.06,0.05,22079331440,157919768,357580800
source,after,1,2.87,2.8,0.05,22043307552,115478072,358023168
source,after,2,2.87,2.81,0.04,22043307552,115478072,358039552
source,after,3,2.89,2.83,0.04,22043307552,115478072,358039552
source,after,4,2.92,2.83,0.05,22043307552,115478072,358023168
source,after,5,3.09,3.01,0.05,22043307552,115478072,358039552
