target,workload,variant,run,elapsed_seconds,user_seconds,system_seconds,allocated_bytes,max_residency_bytes,max_rss_bytes
amd64,many,before,1,2.63,2.53,0.08,12177049456,347935672,801079296
amd64,many,before,2,2.65,2.56,0.08,12177049456,347935672,801079296
amd64,many,before,3,2.65,2.55,0.08,12177049456,347935672,801079296
amd64,many,before,4,2.7,2.6,0.08,12177049456,347972720,801079296
amd64,many,before,5,2.7,2.6,0.08,12177049456,347935672,801079296
amd64,many,after,1,2.02,1.95,0.05,10416210680,161285080,479772672
amd64,many,after,2,2.02,1.95,0.05,10416210680,161285080,479756288
amd64,many,after,3,2.02,1.95,0.05,10416210680,161285080,479756288
amd64,many,after,4,2.05,1.97,0.06,10416210680,161285080,479756288
amd64,many,after,5,2.06,1.99,0.05,10416210680,161285080,479756288
amd64,large,before,1,0.65,0.61,0.02,2133748168,82565576,243236864
amd64,large,before,2,0.66,0.62,0.02,2133748168,82565576,243236864
amd64,large,before,3,0.65,0.62,0.02,2133748168,82565576,243253248
amd64,large,before,4,0.66,0.62,0.02,2133748168,82565576,243253248
amd64,large,before,5,0.66,0.63,0.02,2133748168,82565576,243236864
amd64,large,after,1,0.61,0.57,0.02,1914544520,76072512,221773824
amd64,large,after,2,0.6,0.57,0.02,1914544520,76072512,221773824
amd64,large,after,3,0.62,0.58,0.02,1914544520,76072512,221790208
amd64,large,after,4,0.62,0.58,0.02,1914544520,76072512,221790208
amd64,large,after,5,0.62,0.58,0.02,1914544520,76072512,221773824
amd64,data,before,1,0.02,0.0,0.01,70138448,301952,20987904
amd64,data,before,2,0.02,0.0,0.01,70138448,301952,20987904
amd64,data,before,3,0.03,0.0,0.01,70138448,301952,20987904
amd64,data,before,4,0.03,0.0,0.01,70138448,301952,20987904
amd64,data,before,5,0.03,0.0,0.01,70138448,301952,20987904
amd64,data,after,1,0.05,0.0,0.03,140683200,138448,22265856
amd64,data,after,2,0.04,0.0,0.03,140683200,138448,22265856
amd64,data,after,3,0.05,0.0,0.04,140683200,138448,22265856
amd64,data,after,4,0.06,0.0,0.03,140683200,138448,22265856
amd64,data,after,5,0.09,0.0,0.04,140683200,138448,22265856
amd64,source,before,1,3.09,3.02,0.05,22756705280,134420872,357531648
amd64,source,before,2,3.14,3.08,0.05,22756705280,134420872,357531648
amd64,source,before,3,3.17,3.1,0.05,22756705280,134420872,357531648
amd64,source,before,4,3.17,3.1,0.05,22756705280,134420872,357531648
amd64,source,before,5,3.18,3.11,0.05,22756705280,134420872,357531648
amd64,source,after,1,2.93,2.85,0.05,22227804336,115423400,358088704
amd64,source,after,2,2.92,2.85,0.05,22227804336,115423400,358088704
amd64,source,after,3,2.97,2.9,0.05,22227804336,115621712,358088704
amd64,source,after,4,2.96,2.9,0.05,22227804336,115621712,358088704
amd64,source,after,5,3.04,2.98,0.05,22227804336,115593344,360185856
arm64,many,before,1,1.94,1.86,0.05,9681462216,161285280,473497600
arm64,many,before,2,1.95,1.88,0.05,9681462216,161285280,473497600
arm64,many,before,3,1.98,1.9,0.05,9681462216,161285280,473513984
arm64,many,before,4,1.96,1.89,0.05,9681462216,161285280,473497600
arm64,many,before,5,1.95,1.88,0.05,9681462216,161285280,473497600
arm64,many,after,1,1.96,1.89,0.05,9688662888,161285296,473415680
arm64,many,after,2,1.95,1.89,0.05,9688662888,161285296,473415680
arm64,many,after,3,1.95,1.87,0.05,9688662888,161285296,473399296
arm64,many,after,4,1.95,1.87,0.05,9688662888,161285296,473399296
arm64,many,after,5,1.95,1.89,0.05,9688662888,161285296,473399296
arm64,large,before,1,0.62,0.59,0.02,1800303976,78383584,181960704
arm64,large,before,2,0.62,0.59,0.01,1800303976,78383584,181977088
arm64,large,before,3,0.61,0.58,0.01,1800303976,78383584,181960704
arm64,large,before,4,0.63,0.6,0.02,1800303976,78383584,181977088
arm64,large,before,5,0.63,0.59,0.02,1800303976,78383584,181960704
arm64,large,after,1,0.63,0.59,0.01,1801104752,78383608,181878784
